$$PriceAdjustmentSchedule.Name$Product2.StockKeepingUnit$ProductSellingModel.Name$ProductSellingModel.SellingModelType$TierType$TierValue$LowerBound$CurrencyIsoCode$EffectiveFrom,AdjustmentType,CurrencyIsoCode,EffectiveFrom,EffectiveTo,LowerBound,PriceAdjustmentSchedule.$$Name$CurrencyIsoCode,PricingTerm,PricingTermUnit,Product2.StockKeepingUnit,ProductSellingModel.$$Name$SellingModelType,ScheduleType,SellingModelType,TierType,TierValue,UpperBound
Standard Price Adjustment Tier;KLD-R1-REVIEW;Evergreen Monthly;Evergreen;AdjustmentAmount;13.25;1001;USD;2024-01-01T00:00:00.000+0000,Override,USD,2024-01-01T00:00:00.000+0000,,1001,Standard Price Adjustment Tier;USD,1,Months,KLD-R1-REVIEW,Evergreen Monthly;Evergreen,Volume,Evergreen,AdjustmentAmount,13.25,2000
Standard Price Adjustment Tier;KLD-R1-REVIEW;Evergreen Monthly;Evergreen;AdjustmentAmount;13.0;2001;USD;2024-01-01T00:00:00.000+0000,Override,USD,2024-01-01T00:00:00.000+0000,,2001,Standard Price Adjustment Tier;USD,1,Months,KLD-R1-REVIEW,Evergreen Monthly;Evergreen,Volume,Evergreen,AdjustmentAmount,13.0,3000
Standard Price Adjustment Tier;KLD-R1-REVIEW;Evergreen Monthly;Evergreen;AdjustmentAmount;12.75;3001;USD;2024-01-01T00:00:00.000+0000,Override,USD,2024-01-01T00:00:00.000+0000,,3001,Standard Price Adjustment Tier;USD,1,Months,KLD-R1-REVIEW,Evergreen Monthly;Evergreen,Volume,Evergreen,AdjustmentAmount,12.75,4000
Standard Price Adjustment Tier;KLD-R1-REVIEW;Evergreen Monthly;Evergreen;AdjustmentAmount;12.5;4001;USD;2024-01-01T00:00:00.000+0000,Override,USD,2024-01-01T00:00:00.000+0000,,4001,Standard Price Adjustment Tier;USD,1,Months,KLD-R1-REVIEW,Evergreen Monthly;Evergreen,Volume,Evergreen,AdjustmentAmount,12.5,5000
Standard Price Adjustment Tier;KLD-R1-REVIEW;Evergreen Monthly;Evergreen;AdjustmentAmount;12.25;5001;USD;2024-01-01T00:00:00.000+0000,Override,USD,2024-01-01T00:00:00.000+0000,,5001,Standard Price Adjustment Tier;USD,1,Months,KLD-R1-REVIEW,Evergreen Monthly;Evergreen,Volume,Evergreen,AdjustmentAmount,12.25,6000
Standard Price Adjustment Tier;KLD-R1-REVIEW;Evergreen Monthly;Evergreen;AdjustmentAmount;12.0;6001;USD;2024-01-01T00:00:00.000+0000,Override,USD,2024-01-01T00:00:00.000+0000,,6001,Standard Price Adjustment Tier;USD,1,Months,KLD-R1-REVIEW,Evergreen Monthly;Evergreen,Volume,Evergreen,AdjustmentAmount,12.0,7000
Standard Price Adjustment Tier;KLD-R1-REVIEW;Evergreen Monthly;Evergreen;AdjustmentAmount;11.75;7001;USD;2024-01-01T00:00:00.000+0000,Override,USD,2024-01-01T00:00:00.000+0000,,7001,Standard Price Adjustment Tier;USD,1,Months,KLD-R1-REVIEW,Evergreen Monthly;Evergreen,Volume,Evergreen,AdjustmentAmount,11.75,8000
Standard Price Adjustment Tier;KLD-R1-REVIEW;Evergreen Monthly;Evergreen;AdjustmentAmount;11.5;8001;USD;2024-01-01T00:00:00.000+0000,Override,USD,2024-01-01T00:00:00.000+0000,,8001,Standard Price Adjustment Tier;USD,1,Months,KLD-R1-REVIEW,Evergreen Monthly;Evergreen,Volume,Evergreen,AdjustmentAmount,11.5,9000
Standard Price Adjustment Tier;KLD-R1-REVIEW;Evergreen Monthly;Evergreen;AdjustmentAmount;11.25;9001;USD;2024-01-01T00:00:00.000+0000,Override,USD,2024-01-01T00:00:00.000+0000,,9001,Standard Price Adjustment Tier;USD,1,Months,KLD-R1-REVIEW,Evergreen Monthly;Evergreen,Volume,Evergreen,AdjustmentAmount,11.25,10000
Standard Price Adjustment Tier;KLD-R1-REVIEW;Evergreen Monthly;Evergreen;AdjustmentAmount;11.25;10001;USD;2024-01-01T00:00:00.000+0000,Override,USD,2024-01-01T00:00:00.000+0000,,10001,Standard Price Adjustment Tier;USD,1,Months,KLD-R1-REVIEW,Evergreen Monthly;Evergreen,Volume,Evergreen,AdjustmentAmount,11.25,
Standard Price Adjustment Tier;KLD-R1-REVIEW;Term Monthly;TermDefined;AdjustmentAmount;14.0;0;USD;2024-01-01T00:00:00.000+0000,Override,USD,2024-01-01T00:00:00.000+0000,,0,Standard Price Adjustment Tier;USD,1,Months,KLD-R1-REVIEW,Term Monthly;TermDefined,Volume,TermDefined,AdjustmentAmount,14.0,250
Standard Price Adjustment Tier;KLD-R1-REVIEW;Term Monthly;TermDefined;AdjustmentAmount;13.75;251;USD;2024-01-01T00:00:00.000+0000,Override,USD,2024-01-01T00:00:00.000+0000,,251,Standard Price Adjustment Tier;USD,1,Months,KLD-R1-REVIEW,Term Monthly;TermDefined,Volume,TermDefined,AdjustmentAmount,13.75,500
Standard Price Adjustment Tier;KLD-R1-REVIEW;Term Monthly;TermDefined;AdjustmentAmount;13.5;501;USD;2024-01-01T00:00:00.000+0000,Override,USD,2024-01-01T00:00:00.000+0000,,501,Standard Price Adjustment Tier;USD,1,Months,KLD-R1-REVIEW,Term Monthly;TermDefined,Volume,TermDefined,AdjustmentAmount,13.5,1000
Standard Price Adjustment Tier;KLD-R1-REVIEW;Term Monthly;TermDefined;AdjustmentAmount;13.25;1001;USD;2024-01-01T00:00:00.000+0000,Override,USD,2024-01-01T00:00:00.000+0000,,1001,Standard Price Adjustment Tier;USD,1,Months,KLD-R1-REVIEW,Term Monthly;TermDefined,Volume,TermDefined,AdjustmentAmount,13.25,2000
Standard Price Adjustment Tier;KLD-R1-REVIEW;Term Monthly;TermDefined;AdjustmentAmount;13.0;2001;USD;2024-01-01T00:00:00.000+0000,Override,USD,2024-01-01T00:00:00.000+0000,,2001,Standard Price Adjustment Tier;USD,1,Months,KLD-R1-REVIEW,Term Monthly;TermDefined,Volume,TermDefined,AdjustmentAmount,13.0,3000
Standard Price Adjustment Tier;KLD-R1-REVIEW;Term Monthly;TermDefined;AdjustmentAmount;12.75;3001;USD;2024-01-01T00:00:00.000+0000,Override,USD,2024-01-01T00:00:00.000+0000,,3001,Standard Price Adjustment Tier;USD,1,Months,KLD-R1-REVIEW,Term Monthly;TermDefined,Volume,TermDefined,AdjustmentAmount,12.75,4000
Standard Price Adjustment Tier;KLD-R1-REVIEW;Term Monthly;TermDefined;AdjustmentAmount;12.5;4001;USD;2024-01-01T00:00:00.000+0000,Override,USD,2024-01-01T00:00:00.000+0000,,4001,Standard Price Adjustment Tier;USD,1,Months,KLD-R1-REVIEW,Term Monthly;TermDefined,Volume,TermDefined,AdjustmentAmount,12.5,5000
Standard Price Adjustment Tier;KLD-R1-REVIEW;Term Monthly;TermDefined;AdjustmentAmount;12.25;5001;USD;2024-01-01T00:00:00.000+0000,Override,USD,2024-01-01T00:00:00.000+0000,,5001,Standard Price Adjustment Tier;USD,1,Months,KLD-R1-REVIEW,Term Monthly;TermDefined,Volume,TermDefined,AdjustmentAmount,12.25,6000
Standard Price Adjustment Tier;KLD-R1-REVIEW;Term Monthly;TermDefined;AdjustmentAmount;12.0;6001;USD;2024-01-01T00:00:00.000+0000,Override,USD,2024-01-01T00:00:00.000+0000,,6001,Standard Price Adjustment Tier;USD,1,Months,KLD-R1-REVIEW,Term Monthly;TermDefined,Volume,TermDefined,AdjustmentAmount,12.0,7000
Standard Price Adjustment Tier;KLD-R1-REVIEW;Term Monthly;TermDefined;AdjustmentAmount;11.75;7001;USD;2024-01-01T00:00:00.000+0000,Override,USD,2024-01-01T00:00:00.000+0000,,7001,Standard Price Adjustment Tier;USD,1,Months,KLD-R1-REVIEW,Term Monthly;TermDefined,Volume,TermDefined,AdjustmentAmount,11.75,8000
Standard Price Adjustment Tier;KLD-R1-REVIEW;Term Monthly;TermDefined;AdjustmentAmount;11.5;8001;USD;2024-01-01T00:00:00.000+0000,Override,USD,2024-01-01T00:00:00.000+0000,,8001,Standard Price Adjustment Tier;USD,1,Months,KLD-R1-REVIEW,Term Monthly;TermDefined,Volume,TermDefined,AdjustmentAmount,11.5,9000
Standard Price Adjustment Tier;KLD-R1-REVIEW;Term Monthly;TermDefined;AdjustmentAmount;11.25;9001;USD;2024-01-01T00:00:00.000+0000,Override,USD,2024-01-01T00:00:00.000+0000,,9001,Standard Price Adjustment Tier;USD,1,Months,KLD-R1-REVIEW,Term Monthly;TermDefined,Volume,TermDefined,AdjustmentAmount,11.25,10000
Standard Price Adjustment Tier;KLD-R1-REVIEW;Term Monthly;TermDefined;AdjustmentAmount;11.25;10001;USD;2024-01-01T00:00:00.000+0000,Override,USD,2024-01-01T00:00:00.000+0000,,10001,Standard Price Adjustment Tier;USD,1,Months,KLD-R1-REVIEW,Term Monthly;TermDefined,Volume,TermDefined,AdjustmentAmount,11.25,
