$$Code$ParentProduct.StockKeepingUnit,Code,Description,MaxBundleComponents,MinBundleComponents,Name,ParentGroup.$$Code$ParentProduct.StockKeepingUnit,ParentProduct.StockKeepingUnit,Sequence
I/O-GEN1109;QB-QRack-750-GEN1109,I/O-GEN1109,,,,I/O,PCIe-GEN1109;QB-QRack-750-GEN1109,QB-QRack-750-GEN1109,2
Memory-GEN1109;QB-QRack-750-GEN1109,Memory-GEN1109,,,,Memory,,QB-QRack-750-GEN1109,2
Networking-GEN1109;QB-QRack-750-GEN1109,Networking-GEN1109,,,,Networking,PCIe-GEN1109;QB-QRack-750-GEN1109,QB-QRack-750-GEN1109,3
PCIe-GEN1109;QB-QRack-750-GEN1109,PCIe-GEN1109,,,,PCIe,,QB-QRack-750-GEN1109,4
Power Supply-GEN1109;QB-QRack-750-GEN1109,Power Supply-GEN1109,,,,Power Supply,,QB-QRack-750-GEN1109,5
Processor-GEN1109;QB-QRack-750-GEN1109,Processor-GEN1109,,2,1,Processor,Computing-GEN1109;QB-QRack-750-GEN1109,QB-QRack-750-GEN1109,1
Solid State Drives-GEN1109;QB-QRack-750-GEN1109,Solid State Drives-GEN1109,,4,0,Solid State Drives,Storage-GEN1109;QB-QRack-750-GEN1109,QB-QRack-750-GEN1109,2
Storage-GEN1109;QB-QRack-750-GEN1109,Storage-GEN1109,,,,Storage,,QB-QRack-750-GEN1109,3
PCG-QB-SRV-CPU-GEN1165;QB-BDL-R750-GEN1165,PCG-QB-SRV-CPU-GEN1165,,1,1,Processor,,QB-BDL-R750-GEN1165,1
PCG-QB-SRV-HDD-GEN1165;QB-BDL-R750-GEN1165,PCG-QB-SRV-HDD-GEN1165,,1,1,Hard Drive,,QB-BDL-R750-GEN1165,3
PCG-QB-SRV-NIC-GEN1165;QB-BDL-R750-GEN1165,PCG-QB-SRV-NIC-GEN1165,,1,1,Network Adapter,,QB-BDL-R750-GEN1165,4
PCG-QB-SRV-RAM-GEN1165;QB-BDL-R750-GEN1165,PCG-QB-SRV-RAM-GEN1165,,1,1,Memory Capacity,,QB-BDL-R750-GEN1165,2
PCG-QB-PS-ENGRESOURCES-GEN1167;QB-BDL-SRVC-GEN1167,PCG-QB-PS-ENGRESOURCES-GEN1167,,,,Engineering Resources,,QB-BDL-SRVC-GEN1167,1
PCG-QB-PS-PM-GEN1167;QB-BDL-SRVC-GEN1167,PCG-QB-PS-PM-GEN1167,,,,Project Management,,QB-BDL-SRVC-GEN1167,2
PCG-QB-PS-SA-GEN1167;QB-BDL-SRVC-GEN1167,PCG-QB-PS-SA-GEN1167,,,,Solution Architecture,,QB-BDL-SRVC-GEN1167,3
PCG-QBSTARTER-MAINT-GEN1168;QB-BDL-STND-GEN1168,PCG-QBSTARTER-MAINT-GEN1168,,1,1,Maintenance,,QB-BDL-STND-GEN1168,20
PCG-QBSTARTER-TRAINING-GEN1168;QB-BDL-STND-GEN1168,PCG-QBSTARTER-TRAINING-GEN1168,,1,1,Training,,QB-BDL-STND-GEN1168,10
PCG-QB-MAINT-GEN1194;QB-COMPLETE-GEN1194,PCG-QB-MAINT-GEN1194,,,,Maintenance & Support,,QB-COMPLETE-GEN1194,40
PCG-QB-SERVICES-GEN1194;QB-COMPLETE-GEN1194,PCG-QB-SERVICES-GEN1194,,,,Services,,QB-COMPLETE-GEN1194,30
PCG-QB-SOFTWARE-GEN1194;QB-COMPLETE-GEN1194,PCG-QB-SOFTWARE-GEN1194,,,,Software,,QB-COMPLETE-GEN1194,10
PCG-QB-TRAINING-GEN1194;QB-COMPLETE-GEN1194,PCG-QB-TRAINING-GEN1194,,,,Training,,QB-COMPLETE-GEN1194,20
QB-PCG-USAGE-GEN1194;QB-COMPLETE-GEN1194,QB-PCG-USAGE-GEN1194,,,,Consumption,,QB-COMPLETE-GEN1194,15
Computing-GEN1273;QB-QRack-750-GEN1273,Computing-GEN1273,,,,Computing,,QB-QRack-750-GEN1273,1
Cooling-GEN1273;QB-QRack-750-GEN1273,Cooling-GEN1273,,2,1,Cooling,Computing-GEN1273;QB-QRack-750-GEN1273,QB-QRack-750-GEN1273,2
GPUs-GEN1273;QB-QRack-750-GEN1273,GPUs-GEN1273,,,,GPUs,PCIe-GEN1273;QB-QRack-750-GEN1273,QB-QRack-750-GEN1273,1
Hard Drives-GEN1273;QB-QRack-750-GEN1273,Hard Drives-GEN1273,,,,Hard Drives,Storage-GEN1273;QB-QRack-750-GEN1273,QB-QRack-750-GEN1273,1
I/O-GEN1273;QB-QRack-750-GEN1273,I/O-GEN1273,,,,I/O,PCIe-GEN1273;QB-QRack-750-GEN1273,QB-QRack-750-GEN1273,2
Memory-GEN1273;QB-QRack-750-GEN1273,Memory-GEN1273,,,,Memory,,QB-QRack-750-GEN1273,2
Networking-GEN1273;QB-QRack-750-GEN1273,Networking-GEN1273,,,,Networking,PCIe-GEN1273;QB-QRack-750-GEN1273,QB-QRack-750-GEN1273,3
PCIe-GEN1273;QB-QRack-750-GEN1273,PCIe-GEN1273,,,,PCIe,,QB-QRack-750-GEN1273,4
Power Supply-GEN1273;QB-QRack-750-GEN1273,Power Supply-GEN1273,,,,Power Supply,,QB-QRack-750-GEN1273,5
Processor-GEN1273;QB-QRack-750-GEN1273,Processor-GEN1273,,2,1,Processor,Computing-GEN1273;QB-QRack-750-GEN1273,QB-QRack-750-GEN1273,1
Solid State Drives-GEN1273;QB-QRack-750-GEN1273,Solid State Drives-GEN1273,,4,0,Solid State Drives,Storage-GEN1273;QB-QRack-750-GEN1273,QB-QRack-750-GEN1273,2
Storage-GEN1273;QB-QRack-750-GEN1273,Storage-GEN1273,,,,Storage,,QB-QRack-750-GEN1273,3
PCG-QB-SRV-CPU-GEN1329;QB-BDL-R750-GEN1329,PCG-QB-SRV-CPU-GEN1329,,1,1,Processor,,QB-BDL-R750-GEN1329,1
PCG-QB-SRV-HDD-GEN1329;QB-BDL-R750-GEN1329,PCG-QB-SRV-HDD-GEN1329,,1,1,Hard Drive,,QB-BDL-R750-GEN1329,3
PCG-QB-SRV-NIC-GEN1329;QB-BDL-R750-GEN1329,PCG-QB-SRV-NIC-GEN1329,,1,1,Network Adapter,,QB-BDL-R750-GEN1329,4
PCG-QB-SRV-RAM-GEN1329;QB-BDL-R750-GEN1329,PCG-QB-SRV-RAM-GEN1329,,1,1,Memory Capacity,,QB-BDL-R750-GEN1329,2
PCG-QB-PS-ENGRESOURCES-GEN1331;QB-BDL-SRVC-GEN1331,PCG-QB-PS-ENGRESOURCES-GEN1331,,,,Engineering Resources,,QB-BDL-SRVC-GEN1331,1
PCG-QB-PS-PM-GEN1331;QB-BDL-SRVC-GEN1331,PCG-QB-PS-PM-GEN1331,,,,Project Management,,QB-BDL-SRVC-GEN1331,2
PCG-QB-PS-SA-GEN1331;QB-BDL-SRVC-GEN1331,PCG-QB-PS-SA-GEN1331,,,,Solution Architecture,,QB-BDL-SRVC-GEN1331,3
PCG-QBSTARTER-MAINT-GEN1332;QB-BDL-STND-GEN1332,PCG-QBSTARTER-MAINT-GEN1332,,1,1,Maintenance,,QB-BDL-STND-GEN1332,20
PCG-QBSTARTER-TRAINING-GEN1332;QB-BDL-STND-GEN1332,PCG-QBSTARTER-TRAINING-GEN1332,,1,1,Training,,QB-BDL-STND-GEN1332,10
PCG-QB-MAINT-GEN1358;QB-COMPLETE-GEN1358,PCG-QB-MAINT-GEN1358,,,,Maintenance & Support,,QB-COMPLETE-GEN1358,40
PCG-QB-SERVICES-GEN1358;QB-COMPLETE-GEN1358,PCG-QB-SERVICES-GEN1358,,,,Services,,QB-COMPLETE-GEN1358,30
PCG-QB-SOFTWARE-GEN1358;QB-COMPLETE-GEN1358,PCG-QB-SOFTWARE-GEN1358,,,,Software,,QB-COMPLETE-GEN1358,10
PCG-QB-TRAINING-GEN1358;QB-COMPLETE-GEN1358,PCG-QB-TRAINING-GEN1358,,,,Training,,QB-COMPLETE-GEN1358,20
QB-PCG-USAGE-GEN1358;QB-COMPLETE-GEN1358,QB-PCG-USAGE-GEN1358,,,,Consumption,,QB-COMPLETE-GEN1358,15
Computing-GEN1437;QB-QRack-750-GEN1437,Computing-GEN1437,,,,Computing,,QB-QRack-750-GEN1437,1
Cooling-GEN1437;QB-QRack-750-GEN1437,Cooling-GEN1437,,2,1,Cooling,Computing-GEN1437;QB-QRack-750-GEN1437,QB-QRack-750-GEN1437,2
GPUs-GEN1437;QB-QRack-750-GEN1437,GPUs-GEN1437,,,,GPUs,PCIe-GEN1437;QB-QRack-750-GEN1437,QB-QRack-750-GEN1437,1
Hard Drives-GEN1437;QB-QRack-750-GEN1437,Hard Drives-GEN1437,,,,Hard Drives,Storage-GEN1437;QB-QRack-750-GEN1437,QB-QRack-750-GEN1437,1
I/O-GEN1437;QB-QRack-750-GEN1437,I/O-GEN1437,,,,I/O,PCIe-GEN1437;QB-QRack-750-GEN1437,QB-QRack-750-GEN1437,2
Memory-GEN1437;QB-QRack-750-GEN1437,Memory-GEN1437,,,,Memory,,QB-QRack-750-GEN1437,2
Networking-GEN1437;QB-QRack-750-GEN1437,Networking-GEN1437,,,,Networking,PCIe-GEN1437;QB-QRack-750-GEN1437,QB-QRack-750-GEN1437,3
PCIe-GEN1437;QB-QRack-750-GEN1437,PCIe-GEN1437,,,,PCIe,,QB-QRack-750-GEN1437,4
Power Supply-GEN1437;QB-QRack-750-GEN1437,Power Supply-GEN1437,,,,Power Supply,,QB-QRack-750-GEN1437,5
Processor-GEN1437;QB-QRack-750-GEN1437,Processor-GEN1437,,2,1,Processor,Computing-GEN1437;QB-QRack-750-GEN1437,QB-QRack-750-GEN1437,1
Solid State Drives-GEN1437;QB-QRack-750-GEN1437,Solid State Drives-GEN1437,,4,0,Solid State Drives,Storage-GEN1437;QB-QRack-750-GEN1437,QB-QRack-750-GEN1437,2
Storage-GEN1437;QB-QRack-750-GEN1437,Storage-GEN1437,,,,Storage,,QB-QRack-750-GEN1437,3
PCG-QB-SRV-CPU-GEN1493;QB-BDL-R750-GEN1493,PCG-QB-SRV-CPU-GEN1493,,1,1,Processor,,QB-BDL-R750-GEN1493,1
PCG-QB-SRV-HDD-GEN1493;QB-BDL-R750-GEN1493,PCG-QB-SRV-HDD-GEN1493,,1,1,Hard Drive,,QB-BDL-R750-GEN1493,3
PCG-QB-SRV-NIC-GEN1493;QB-BDL-R750-GEN1493,PCG-QB-SRV-NIC-GEN1493,,1,1,Network Adapter,,QB-BDL-R750-GEN1493,4
PCG-QB-SRV-RAM-GEN1493;QB-BDL-R750-GEN1493,PCG-QB-SRV-RAM-GEN1493,,1,1,Memory Capacity,,QB-BDL-R750-GEN1493,2
PCG-QB-PS-ENGRESOURCES-GEN1495;QB-BDL-SRVC-GEN1495,PCG-QB-PS-ENGRESOURCES-GEN1495,,,,Engineering Resources,,QB-BDL-SRVC-GEN1495,1
PCG-QB-PS-PM-GEN1495;QB-BDL-SRVC-GEN1495,PCG-QB-PS-PM-GEN1495,,,,Project Management,,QB-BDL-SRVC-GEN1495,2
PCG-QB-PS-SA-GEN1495;QB-BDL-SRVC-GEN1495,PCG-QB-PS-SA-GEN1495,,,,Solution Architecture,,QB-BDL-SRVC-GEN1495,3
PCG-QBSTARTER-MAINT-GEN1496;QB-BDL-STND-GEN1496,PCG-QBSTARTER-MAINT-GEN1496,,1,1,Maintenance,,QB-BDL-STND-GEN1496,20
PCG-QBSTARTER-TRAINING-GEN1496;QB-BDL-STND-GEN1496,PCG-QBSTARTER-TRAINING-GEN1496,,1,1,Training,,QB-BDL-STND-GEN1496,10
PCG-QB-MAINT-GEN1522;QB-COMPLETE-GEN1522,PCG-QB-MAINT-GEN1522,,,,Maintenance & Support,,QB-COMPLETE-GEN1522,40
PCG-QB-SERVICES-GEN1522;QB-COMPLETE-GEN1522,PCG-QB-SERVICES-GEN1522,,,,Services,,QB-COMPLETE-GEN1522,30
PCG-QB-SOFTWARE-GEN1522;QB-COMPLETE-GEN1522,PCG-QB-SOFTWARE-GEN1522,,,,Software,,QB-COMPLETE-GEN1522,10
PCG-QB-TRAINING-GEN1522;QB-COMPLETE-GEN1522,PCG-QB-TRAINING-GEN1522,,,,Training,,QB-COMPLETE-GEN1522,20
QB-PCG-USAGE-GEN1522;QB-COMPLETE-GEN1522,QB-PCG-USAGE-GEN1522,,,,Consumption,,QB-COMPLETE-GEN1522,15
Computing-GEN1601;QB-QRack-750-GEN1601,Computing-GEN1601,,,,Computing,,QB-QRack-750-GEN1601,1
Cooling-GEN1601;QB-QRack-750-GEN1601,Cooling-GEN1601,,2,1,Cooling,Computing-GEN1601;QB-QRack-750-GEN1601,QB-QRack-750-GEN1601,2
GPUs-GEN1601;QB-QRack-750-GEN1601,GPUs-GEN1601,,,,GPUs,PCIe-GEN1601;QB-QRack-750-GEN1601,QB-QRack-750-GEN1601,1
Hard Drives-GEN1601;QB-QRack-750-GEN1601,Hard Drives-GEN1601,,,,Hard Drives,Storage-GEN1601;QB-QRack-750-GEN1601,QB-QRack-750-GEN1601,1
I/O-GEN1601;QB-QRack-750-GEN1601,I/O-GEN1601,,,,I/O,PCIe-GEN1601;QB-QRack-750-GEN1601,QB-QRack-750-GEN1601,2
Memory-GEN1601;QB-QRack-750-GEN1601,Memory-GEN1601,,,,Memory,,QB-QRack-750-GEN1601,2
Networking-GEN1601;QB-QRack-750-GEN1601,Networking-GEN1601,,,,Networking,PCIe-GEN1601;QB-QRack-750-GEN1601,QB-QRack-750-GEN1601,3
PCIe-GEN1601;QB-QRack-750-GEN1601,PCIe-GEN1601,,,,PCIe,,QB-QRack-750-GEN1601,4
Power Supply-GEN1601;QB-QRack-750-GEN1601,Power Supply-GEN1601,,,,Power Supply,,QB-QRack-750-GEN1601,5
Processor-GEN1601;QB-QRack-750-GEN1601,Processor-GEN1601,,2,1,Processor,Computing-GEN1601;QB-QRack-750-GEN1601,QB-QRack-750-GEN1601,1
Solid State Drives-GEN1601;QB-QRack-750-GEN1601,Solid State Drives-GEN1601,,4,0,Solid State Drives,Storage-GEN1601;QB-QRack-750-GEN1601,QB-QRack-750-GEN1601,2
Storage-GEN1601;QB-QRack-750-GEN1601,Storage-GEN1601,,,,Storage,,QB-QRack-750-GEN1601,3
PCG-QB-SRV-CPU-GEN1657;QB-BDL-R750-GEN1657,PCG-QB-SRV-CPU-GEN1657,,1,1,Processor,,QB-BDL-R750-GEN1657,1
PCG-QB-SRV-HDD-GEN1657;QB-BDL-R750-GEN1657,PCG-QB-SRV-HDD-GEN1657,,1,1,Hard Drive,,QB-BDL-R750-GEN1657,3
PCG-QB-SRV-NIC-GEN1657;QB-BDL-R750-GEN1657,PCG-QB-SRV-NIC-GEN1657,,1,1,Network Adapter,,QB-BDL-R750-GEN1657,4
PCG-QB-SRV-RAM-GEN1657;QB-BDL-R750-GEN1657,PCG-QB-SRV-RAM-GEN1657,,1,1,Memory Capacity,,QB-BDL-R750-GEN1657,2
PCG-QB-PS-ENGRESOURCES-GEN1659;QB-BDL-SRVC-GEN1659,PCG-QB-PS-ENGRESOURCES-GEN1659,,,,Engineering Resources,,QB-BDL-SRVC-GEN1659,1
PCG-QB-PS-PM-GEN1659;QB-BDL-SRVC-GEN1659,PCG-QB-PS-PM-GEN1659,,,,Project Management,,QB-BDL-SRVC-GEN1659,2
PCG-QB-PS-SA-GEN1659;QB-BDL-SRVC-GEN1659,PCG-QB-PS-SA-GEN1659,,,,Solution Architecture,,QB-BDL-SRVC-GEN1659,3
PCG-QBSTARTER-MAINT-GEN1660;QB-BDL-STND-GEN1660,PCG-QBSTARTER-MAINT-GEN1660,,1,1,Maintenance,,QB-BDL-STND-GEN1660,20
PCG-QBSTARTER-TRAINING-GEN1660;QB-BDL-STND-GEN1660,PCG-QBSTARTER-TRAINING-GEN1660,,1,1,Training,,QB-BDL-STND-GEN1660,10
PCG-QB-MAINT-GEN1686;QB-COMPLETE-GEN1686,PCG-QB-MAINT-GEN1686,,,,Maintenance & Support,,QB-COMPLETE-GEN1686,40
PCG-QB-SERVICES-GEN1686;QB-COMPLETE-GEN1686,PCG-QB-SERVICES-GEN1686,,,,Services,,QB-COMPLETE-GEN1686,30
PCG-QB-SOFTWARE-GEN1686;QB-COMPLETE-GEN1686,PCG-QB-SOFTWARE-GEN1686,,,,Software,,QB-COMPLETE-GEN1686,10
PCG-QB-TRAINING-GEN1686;QB-COMPLETE-GEN1686,PCG-QB-TRAINING-GEN1686,,,,Training,,QB-COMPLETE-GEN1686,20
QB-PCG-USAGE-GEN1686;QB-COMPLETE-GEN1686,QB-PCG-USAGE-GEN1686,,,,Consumption,,QB-COMPLETE-GEN1686,15
Computing-GEN1765;QB-QRack-750-GEN1765,Computing-GEN1765,,,,Computing,,QB-QRack-750-GEN1765,1
Cooling-GEN1765;QB-QRack-750-GEN1765,Cooling-GEN1765,,2,1,Cooling,Computing-GEN1765;QB-QRack-750-GEN1765,QB-QRack-750-GEN1765,2
GPUs-GEN1765;QB-QRack-750-GEN1765,GPUs-GEN1765,,,,GPUs,PCIe-GEN1765;QB-QRack-750-GEN1765,QB-QRack-750-GEN1765,1
Hard Drives-GEN1765;QB-QRack-750-GEN1765,Hard Drives-GEN1765,,,,Hard Drives,Storage-GEN1765;QB-QRack-750-GEN1765,QB-QRack-750-GEN1765,1
I/O-GEN1765;QB-QRack-750-GEN1765,I/O-GEN1765,,,,I/O,PCIe-GEN1765;QB-QRack-750-GEN1765,QB-QRack-750-GEN1765,2
Memory-GEN1765;QB-QRack-750-GEN1765,Memory-GEN1765,,,,Memory,,QB-QRack-750-GEN1765,2
Networking-GEN1765;QB-QRack-750-GEN1765,Networking-GEN1765,,,,Networking,PCIe-GEN1765;QB-QRack-750-GEN1765,QB-QRack-750-GEN1765,3
PCIe-GEN1765;QB-QRack-750-GEN1765,PCIe-GEN1765,,,,PCIe,,QB-QRack-750-GEN1765,4
Power Supply-GEN1765;QB-QRack-750-GEN1765,Power Supply-GEN1765,,,,Power Supply,,QB-QRack-750-GEN1765,5
Processor-GEN1765;QB-QRack-750-GEN1765,Processor-GEN1765,,2,1,Processor,Computing-GEN1765;QB-QRack-750-GEN1765,QB-QRack-750-GEN1765,1
Solid State Drives-GEN1765;QB-QRack-750-GEN1765,Solid State Drives-GEN1765,,4,0,Solid State Drives,Storage-GEN1765;QB-QRack-750-GEN1765,QB-QRack-750-GEN1765,2
Storage-GEN1765;QB-QRack-750-GEN1765,Storage-GEN1765,,,,Storage,,QB-QRack-750-GEN1765,3
PCG-QB-SRV-CPU-GEN1821;QB-BDL-R750-GEN1821,PCG-QB-SRV-CPU-GEN1821,,1,1,Processor,,QB-BDL-R750-GEN1821,1
PCG-QB-SRV-HDD-GEN1821;QB-BDL-R750-GEN1821,PCG-QB-SRV-HDD-GEN1821,,1,1,Hard Drive,,QB-BDL-R750-GEN1821,3
PCG-QB-SRV-NIC-GEN1821;QB-BDL-R750-GEN1821,PCG-QB-SRV-NIC-GEN1821,,1,1,Network Adapter,,QB-BDL-R750-GEN1821,4
PCG-QB-SRV-RAM-GEN1821;QB-BDL-R750-GEN1821,PCG-QB-SRV-RAM-GEN1821,,1,1,Memory Capacity,,QB-BDL-R750-GEN1821,2
PCG-QB-PS-ENGRESOURCES-GEN1823;QB-BDL-SRVC-GEN1823,PCG-QB-PS-ENGRESOURCES-GEN1823,,,,Engineering Resources,,QB-BDL-SRVC-GEN1823,1
PCG-QB-PS-PM-GEN1823;QB-BDL-SRVC-GEN1823,PCG-QB-PS-PM-GEN1823,,,,Project Management,,QB-BDL-SRVC-GEN1823,2
PCG-QB-PS-SA-GEN1823;QB-BDL-SRVC-GEN1823,PCG-QB-PS-SA-GEN1823,,,,Solution Architecture,,QB-BDL-SRVC-GEN1823,3
PCG-QBSTARTER-MAINT-GEN1824;QB-BDL-STND-GEN1824,PCG-QBSTARTER-MAINT-GEN1824,,1,1,Maintenance,,QB-BDL-STND-GEN1824,20
PCG-QBSTARTER-TRAINING-GEN1824;QB-BDL-STND-GEN1824,PCG-QBSTARTER-TRAINING-GEN1824,,1,1,Training,,QB-BDL-STND-GEN1824,10
PCG-QB-MAINT-GEN1850;QB-COMPLETE-GEN1850,PCG-QB-MAINT-GEN1850,,,,Maintenance & Support,,QB-COMPLETE-GEN1850,40
PCG-QB-SERVICES-GEN1850;QB-COMPLETE-GEN1850,PCG-QB-SERVICES-GEN1850,,,,Services,,QB-COMPLETE-GEN1850,30
PCG-QB-SOFTWARE-GEN1850;QB-COMPLETE-GEN1850,PCG-QB-SOFTWARE-GEN1850,,,,Software,,QB-COMPLETE-GEN1850,10
PCG-QB-TRAINING-GEN1850;QB-COMPLETE-GEN1850,PCG-QB-TRAINING-GEN1850,,,,Training,,QB-COMPLETE-GEN1850,20
QB-PCG-USAGE-GEN1850;QB-COMPLETE-GEN1850,QB-PCG-USAGE-GEN1850,,,,Consumption,,QB-COMPLETE-GEN1850,15
Computing-GEN1929;QB-QRack-750-GEN1929,Computing-GEN1929,,,,Computing,,QB-QRack-750-GEN1929,1
Cooling-GEN1929;QB-QRack-750-GEN1929,Cooling-GEN1929,,2,1,Cooling,Computing-GEN1929;QB-QRack-750-GEN1929,QB-QRack-750-GEN1929,2
GPUs-GEN1929;QB-QRack-750-GEN1929,GPUs-GEN1929,,,,GPUs,PCIe-GEN1929;QB-QRack-750-GEN1929,QB-QRack-750-GEN1929,1
Hard Drives-GEN1929;QB-QRack-750-GEN1929,Hard Drives-GEN1929,,,,Hard Drives,Storage-GEN1929;QB-QRack-750-GEN1929,QB-QRack-750-GEN1929,1
I/O-GEN1929;QB-QRack-750-GEN1929,I/O-GEN1929,,,,I/O,PCIe-GEN1929;QB-QRack-750-GEN1929,QB-QRack-750-GEN1929,2
Memory-GEN1929;QB-QRack-750-GEN1929,Memory-GEN1929,,,,Memory,,QB-QRack-750-GEN1929,2
Networking-GEN1929;QB-QRack-750-GEN1929,Networking-GEN1929,,,,Networking,PCIe-GEN1929;QB-QRack-750-GEN1929,QB-QRack-750-GEN1929,3
PCIe-GEN1929;QB-QRack-750-GEN1929,PCIe-GEN1929,,,,PCIe,,QB-QRack-750-GEN1929,4
Power Supply-GEN1929;QB-QRack-750-GEN1929,Power Supply-GEN1929,,,,Power Supply,,QB-QRack-750-GEN1929,5
Processor-GEN1929;QB-QRack-750-GEN1929,Processor-GEN1929,,2,1,Processor,Computing-GEN1929;QB-QRack-750-GEN1929,QB-QRack-750-GEN1929,1
Solid State Drives-GEN1929;QB-QRack-750-GEN1929,Solid State Drives-GEN1929,,4,0,Solid State Drives,Storage-GEN1929;QB-QRack-750-GEN1929,QB-QRack-750-GEN1929,2
Storage-GEN1929;QB-QRack-750-GEN1929,Storage-GEN1929,,,,Storage,,QB-QRack-750-GEN1929,3
PCG-QB-SRV-CPU-GEN1985;QB-BDL-R750-GEN1985,PCG-QB-SRV-CPU-GEN1985,,1,1,Processor,,QB-BDL-R750-GEN1985,1
PCG-QB-SRV-HDD-GEN1985;QB-BDL-R750-GEN1985,PCG-QB-SRV-HDD-GEN1985,,1,1,Hard Drive,,QB-BDL-R750-GEN1985,3
PCG-QB-SRV-NIC-GEN1985;QB-BDL-R750-GEN1985,PCG-QB-SRV-NIC-GEN1985,,1,1,Network Adapter,,QB-BDL-R750-GEN1985,4
PCG-QB-SRV-RAM-GEN1985;QB-BDL-R750-GEN1985,PCG-QB-SRV-RAM-GEN1985,,1,1,Memory Capacity,,QB-BDL-R750-GEN1985,2
PCG-QB-PS-ENGRESOURCES-GEN1987;QB-BDL-SRVC-GEN1987,PCG-QB-PS-ENGRESOURCES-GEN1987,,,,Engineering Resources,,QB-BDL-SRVC-GEN1987,1
PCG-QB-PS-PM-GEN1987;QB-BDL-SRVC-GEN1987,PCG-QB-PS-PM-GEN1987,,,,Project Management,,QB-BDL-SRVC-GEN1987,2
PCG-QB-PS-SA-GEN1987;QB-BDL-SRVC-GEN1987,PCG-QB-PS-SA-GEN1987,,,,Solution Architecture,,QB-BDL-SRVC-GEN1987,3
PCG-QBSTARTER-MAINT-GEN1988;QB-BDL-STND-GEN1988,PCG-QBSTARTER-MAINT-GEN1988,,1,1,Maintenance,,QB-BDL-STND-GEN1988,20
PCG-QBSTARTER-TRAINING-GEN1988;QB-BDL-STND-GEN1988,PCG-QBSTARTER-TRAINING-GEN1988,,1,1,Training,,QB-BDL-STND-GEN1988,10
PCG-QB-MAINT-GEN2014;QB-COMPLETE-GEN2014,PCG-QB-MAINT-GEN2014,,,,Maintenance & Support,,QB-COMPLETE-GEN2014,40
PCG-QB-SERVICES-GEN2014;QB-COMPLETE-GEN2014,PCG-QB-SERVICES-GEN2014,,,,Services,,QB-COMPLETE-GEN2014,30
PCG-QB-SOFTWARE-GEN2014;QB-COMPLETE-GEN2014,PCG-QB-SOFTWARE-GEN2014,,,,Software,,QB-COMPLETE-GEN2014,10
PCG-QB-TRAINING-GEN2014;QB-COMPLETE-GEN2014,PCG-QB-TRAINING-GEN2014,,,,Training,,QB-COMPLETE-GEN2014,20
QB-PCG-USAGE-GEN2014;QB-COMPLETE-GEN2014,QB-PCG-USAGE-GEN2014,,,,Consumption,,QB-COMPLETE-GEN2014,15
Computing-GEN2093;QB-QRack-750-GEN2093,Computing-GEN2093,,,,Computing,,QB-QRack-750-GEN2093,1
Cooling-GEN2093;QB-QRack-750-GEN2093,Cooling-GEN2093,,2,1,Cooling,Computing-GEN2093;QB-QRack-750-GEN2093,QB-QRack-750-GEN2093,2
GPUs-GEN2093;QB-QRack-750-GEN2093,GPUs-GEN2093,,,,GPUs,PCIe-GEN2093;QB-QRack-750-GEN2093,QB-QRack-750-GEN2093,1
Hard Drives-GEN2093;QB-QRack-750-GEN2093,Hard Drives-GEN2093,,,,Hard Drives,Storage-GEN2093;QB-QRack-750-GEN2093,QB-QRack-750-GEN2093,1
I/O-GEN2093;QB-QRack-750-GEN2093,I/O-GEN2093,,,,I/O,PCIe-GEN2093;QB-QRack-750-GEN2093,QB-QRack-750-GEN2093,2
Memory-GEN2093;QB-QRack-750-GEN2093,Memory-GEN2093,,,,Memory,,QB-QRack-750-GEN2093,2
Networking-GEN2093;QB-QRack-750-GEN2093,Networking-GEN2093,,,,Networking,PCIe-GEN2093;QB-QRack-750-GEN2093,QB-QRack-750-GEN2093,3
PCIe-GEN2093;QB-QRack-750-GEN2093,PCIe-GEN2093,,,,PCIe,,QB-QRack-750-GEN2093,4
Power Supply-GEN2093;QB-QRack-750-GEN2093,Power Supply-GEN2093,,,,Power Supply,,QB-QRack-750-GEN2093,5
Processor-GEN2093;QB-QRack-750-GEN2093,Processor-GEN2093,,2,1,Processor,Computing-GEN2093;QB-QRack-750-GEN2093,QB-QRack-750-GEN2093,1
Solid State Drives-GEN2093;QB-QRack-750-GEN2093,Solid State Drives-GEN2093,,4,0,Solid State Drives,Storage-GEN2093;QB-QRack-750-GEN2093,QB-QRack-750-GEN2093,2
Storage-GEN2093;QB-QRack-750-GEN2093,Storage-GEN2093,,,,Storage,,QB-QRack-750-GEN2093,3
PCG-QB-SRV-CPU-GEN2149;QB-BDL-R750-GEN2149,PCG-QB-SRV-CPU-GEN2149,,1,1,Processor,,QB-BDL-R750-GEN2149,1
PCG-QB-SRV-HDD-GEN2149;QB-BDL-R750-GEN2149,PCG-QB-SRV-HDD-GEN2149,,1,1,Hard Drive,,QB-BDL-R750-GEN2149,3
PCG-QB-SRV-NIC-GEN2149;QB-BDL-R750-GEN2149,PCG-QB-SRV-NIC-GEN2149,,1,1,Network Adapter,,QB-BDL-R750-GEN2149,4
PCG-QB-SRV-RAM-GEN2149;QB-BDL-R750-GEN2149,PCG-QB-SRV-RAM-GEN2149,,1,1,Memory Capacity,,QB-BDL-R750-GEN2149,2
