$$Name$Pricebook2.Name$Product2.StockKeepingUnit$ProductSellingModel.Name,IsActive,IsDerived,Name,Pricebook2.$$Name$IsStandard,Product2.StockKeepingUnit,ProductSellingModel.$$Name$SellingModelType,UnitPrice
DCC 10YR UNLIMITED HR PARTS;Standard Price Book;One Time,true,false,DCC 10YR UNLIMITED HR PARTS,Standard Price Book;true,,One Time;OneTime,1260
DCC 3YR UNLIMITED HR P + L;Standard Price Book;One Time,true,false,DCC 3YR UNLIMITED HR P + L,Standard Price Book;true,,One Time;OneTime,920
DCC 3YR UNLIMITED HR P + L + T;Standard Price Book;One Time,true,false,DCC 3YR UNLIMITED HR P + L + T,Standard Price Book;true,,One Time;OneTime,1270
DCC 3YR UNLIMITED HR PARTS;Standard Price Book;One Time,true,false,DCC 3YR UNLIMITED HR PARTS,Standard Price Book;true,,One Time;OneTime,1920
DCC 5YR UNLIMITED HR P + L;Standard Price Book;One Time,true,false,DCC 5YR UNLIMITED HR P + L,Standard Price Book;true,,One Time;OneTime,2450
DCC 5YR UNLIMITED HR P + L + T;Standard Price Book;One Time,true,false,DCC 5YR UNLIMITED HR P + L + T,Standard Price Book;true,,One Time;OneTime,1130
DCC 5YR UNLIMITED HR PARTS;Standard Price Book;One Time,true,false,DCC 5YR UNLIMITED HR PARTS,Standard Price Book;true,,One Time;OneTime,2120
Deep Sea G8601 Control Panel;Standard Price Book;One Time,true,false,Deep Sea G8601 Control Panel,Standard Price Book;true,,One Time;OneTime,0
Differential CT's P7;Standard Price Book;One Time,true,false,Differential CT's P7,Standard Price Book;true,,One Time;OneTime,2310
Differential CT's P80;Standard Price Book;One Time,true,false,Differential CT's P80,Standard Price Book;true,,One Time;OneTime,610
Display - Control LCD;Standard Price Book;One Time,true,false,Display - Control LCD,Standard Price Book;true,,One Time;OneTime,880
Display Language-Chinese (Mandarin);Standard Price Book;One Time,true,false,Display Language-Chinese (Mandarin),Standard Price Book;true,,One Time;OneTime,1250
Display Language-Danish;Standard Price Book;One Time,true,false,Display Language-Danish,Standard Price Book;true,,One Time;OneTime,1210
Display Language-Dutch;Standard Price Book;One Time,true,false,Display Language-Dutch,Standard Price Book;true,,One Time;OneTime,490
Display Language-English;Standard Price Book;One Time,true,false,Display Language-English,Standard Price Book;true,,One Time;OneTime,1330
Display Language-Finnish;Standard Price Book;One Time,true,false,Display Language-Finnish,Standard Price Book;true,,One Time;OneTime,1230
Display Language-French;Standard Price Book;One Time,true,false,Display Language-French,Standard Price Book;true,,One Time;OneTime,1310
Display Language-German;Standard Price Book;One Time,true,false,Display Language-German,Standard Price Book;true,,One Time;OneTime,910
Display Language-Greek;Standard Price Book;One Time,true,false,Display Language-Greek,Standard Price Book;true,,One Time;OneTime,310
Display Language-Italian;Standard Price Book;One Time,true,false,Display Language-Italian,Standard Price Book;true,,One Time;OneTime,2380
Display Language-Norwegian;Standard Price Book;One Time,true,false,Display Language-Norwegian,Standard Price Book;true,,One Time;OneTime,110
Display Language-Portuguese;Standard Price Book;One Time,true,false,Display Language-Portuguese,Standard Price Book;true,,One Time;OneTime,2110
Display Language-Russian;Standard Price Book;One Time,true,false,Display Language-Russian,Standard Price Book;true,,One Time;OneTime,1720
Display Language-Spanish;Standard Price Book;One Time,true,false,Display Language-Spanish,Standard Price Book;true,,One Time;OneTime,1380
"Display, Running Time;Standard Price Book;One Time",true,false,"Display, Running Time",Standard Price Book;true,,One Time;OneTime,2470
Dual 500W Enclosure Heater;Standard Price Book;One Time,true,false,Dual 500W Enclosure Heater,Standard Price Book;true,,One Time;OneTime,1628
Dual 8 Function Alarm Relay Panel;Standard Price Book;One Time,true,false,Dual 8 Function Alarm Relay Panel,Standard Price Book;true,,One Time;OneTime,599.53
Electric Starter Motor - 24V DC;Standard Price Book;One Time,true,false,Electric Starter Motor - 24V DC,Standard Price Book;true,,One Time;OneTime,1540
Electrical Engineer;Standard Price Book;One Time,true,false,Electrical Engineer,Standard Price Book;true,,One Time;OneTime,550
"Eng Cooling-High Ambient Air Temp, Ship Loose;Standard Price Book;One Time",true,false,"Eng Cooling-High Ambient Air Temp, Ship Loose",Standard Price Book;true,,One Time;OneTime,1770
Engine - QSK60-G6;Standard Price Book;One Time,true,false,Engine - QSK60-G6,Standard Price Book;true,,One Time;OneTime,1060
Engine Cooling-Enhanced High Ambient Air Temperature;Standard Price Book;One Time,true,false,Engine Cooling-Enhanced High Ambient Air Temperature,Standard Price Book;true,,One Time;OneTime,290
Engine Cooling-High Ambient Air Temperature;Standard Price Book;One Time,true,false,Engine Cooling-High Ambient Air Temperature,Standard Price Book;true,,One Time;OneTime,690
Engine Run Relay;Standard Price Book;One Time,true,false,Engine Run Relay,Standard Price Book;true,,One Time;OneTime,214
"Entrance Box-Low Voltage,Left;Standard Price Book;One Time",true,false,"Entrance Box-Low Voltage,Left",Standard Price Book;true,,One Time;OneTime,2400
"Entrance Box-Low Voltage,Right;Standard Price Book;One Time",true,false,"Entrance Box-Low Voltage,Right",Standard Price Book;true,,One Time;OneTime,1340
Entrance Box-Right;Standard Price Book;One Time,true,false,Entrance Box-Right,Standard Price Book;true,,One Time;OneTime,1840
EPA Certified;Standard Price Book;One Time,true,false,EPA Certified,Standard Price Book;true,,One Time;OneTime,0
Exciter;Standard Price Book,true,false,Exciter,Standard Price Book;true,,,0
Extend Exhaust 2”;Standard Price Book;One Time,true,false,Extend Exhaust 2”,Standard Price Book;true,,One Time;OneTime,0
EXTENDED - 10 YR P/L/T PREMIUM;Standard Price Book;One Time,true,true,EXTENDED - 10 YR P/L/T PREMIUM,Standard Price Book;true,,One Time;OneTime,0
EXTENDED - 5 YR P/L/T PREMIUM;Standard Price Book;One Time,true,true,EXTENDED - 5 YR P/L/T PREMIUM,Standard Price Book;true,,One Time;OneTime,0
EXTENDED - 7 YR P/L/T PREMIUM;Standard Price Book;One Time,true,true,EXTENDED - 7 YR P/L/T PREMIUM,Standard Price Book;true,,One Time;OneTime,0
External Hard Drive;Standard Price Book;One Time,true,false,External Hard Drive,Standard Price Book;true,,One Time;OneTime,179.99
FESBA 1200kW;Standard Price Book;One Time,true,false,FESBA 1200kW,Standard Price Book;true,,One Time;OneTime,2100
FESBA 1500kW;Standard Price Book;One Time,true,false,FESBA 1500kW,Standard Price Book;true,,One Time;OneTime,2500
FESBA 1750kW;Standard Price Book;One Time,true,false,FESBA 1750kW,Standard Price Book;true,,One Time;OneTime,3100
FESBA 2500kW;Standard Price Book;One Time,true,false,FESBA 2500kW,Standard Price Book;true,,One Time;OneTime,4200
FESBA 900kW;Standard Price Book;One Time,true,false,FESBA 900kW,Standard Price Book;true,,One Time;OneTime,1100
FESBA Generator Set;Standard Price Book;One Time,true,false,FESBA Generator Set,Standard Price Book;true,,One Time;OneTime,49450
"Filters-Eng Oil,Full Flow/Bypass;Standard Price Book;One Time",true,false,"Filters-Eng Oil,Full Flow/Bypass",Standard Price Book;true,,One Time;OneTime,1590
Fire-Rated Steel Fuel Hose;Standard Price Book;One Time,true,false,Fire-Rated Steel Fuel Hose,Standard Price Book;true,,One Time;OneTime,1200
Flex Fuel Line;Standard Price Book;One Time,true,false,Flex Fuel Line,Standard Price Book;true,,One Time;OneTime,0
Florida DEP-DERM;Standard Price Book;One Time,true,false,Florida DEP-DERM,Standard Price Book;true,,One Time;OneTime,1500
Flush Mount Annunciator Kit;Standard Price Book;One Time,true,false,Flush Mount Annunciator Kit,Standard Price Book;true,,One Time;OneTime,0
"Fuel Filters-Engine, Duplex;Standard Price Book;One Time",true,false,"Fuel Filters-Engine, Duplex",Standard Price Book;true,,One Time;OneTime,810
"Fuel Filters-Engine, Standard;Standard Price Book;One Time",true,false,"Fuel Filters-Engine, Standard",Standard Price Book;true,,One Time;OneTime,1190
Fuel Hose;Standard Price Book;One Time,true,false,Fuel Hose,Standard Price Book;true,,One Time;OneTime,500
GAMD Generator Set;Standard Price Book;GAMD-FRD;One Time,true,false,GAMD Generator Set,Standard Price Book;true,GAMD-FRD,One Time;OneTime,17599
Gateway Device;Standard Price Book;One Time,true,false,Gateway Device,Standard Price Book;true,,One Time;OneTime,0
Gauge-Exhaust Gas Temperature;Standard Price Book;One Time,true,false,Gauge-Exhaust Gas Temperature,Standard Price Book;true,,One Time;OneTime,850
Generac Solution;Standard Price Book;One Time,true,false,Generac Solution,Standard Price Book;true,,One Time;OneTime,0
Generator Labor & Installation;Standard Price Book;One Time,true,false,Generator Labor & Installation,Standard Price Book;true,,One Time;OneTime,0
Generator Set Dev;Standard Price Book;One Time,true,false,Generator Set Dev,Standard Price Book;true,,One Time;OneTime,20000
Genset Warranty Base;Standard Price Book;One Time,true,false,Genset Warranty Base,Standard Price Book;true,,One Time;OneTime,360
Google Workspace;Standard Price Book;GW001;Term Based - Monthly,true,false,Google Workspace,Standard Price Book;true,GW001,Term Based - Monthly;TermDefined,25
GPT for workspace;Standard Price Book;GPTW001;Term Based - Monthly,true,true,GPT for workspace,Standard Price Book;true,GPTW001,Term Based - Monthly;TermDefined,0
Ground Fault Annunciator;Standard Price Book;One Time,true,false,Ground Fault Annunciator,Standard Price Book;true,,One Time;OneTime,0
Ground Fault Indication Relay - None;Standard Price Book;One Time,true,false,Ground Fault Indication Relay - None,Standard Price Book;true,,One Time;OneTime,270
Hardened Bearing Cartridge;Standard Price Book;One Time,true,false,Hardened Bearing Cartridge,Standard Price Book;true,,One Time;OneTime,1450
Hardware Maintenance;Standard Price Book;Term Based - Monthly,true,true,Hardware Maintenance,Standard Price Book;true,,Term Based - Monthly;TermDefined,0
Headset;Standard Price Book;One Time,true,false,Headset,Standard Price Book;true,,One Time;OneTime,49.99
"Heater-Alternator, 110/220 (120/240) Volt AC;Standard Price Book;One Time",true,false,"Heater-Alternator, 110/220 (120/240) Volt AC",Standard Price Book;true,,One Time;OneTime,1020
"Heater-Alternator, 120 Volt AC;Standard Price Book;One Time",true,false,"Heater-Alternator, 120 Volt AC",Standard Price Book;true,,One Time;OneTime,1240
"Heater-Alternator, 240 Volt AC;Standard Price Book;One Time",true,false,"Heater-Alternator, 240 Volt AC",Standard Price Book;true,,One Time;OneTime,1910
Heavy Duty Air Cleaner;Standard Price Book;One Time,true,false,Heavy Duty Air Cleaner,Standard Price Book;true,,One Time;OneTime,1650
Housing Arrangement - Left & Right Entry;Standard Price Book;One Time,true,false,Housing Arrangement - Left & Right Entry,Standard Price Book;true,,One Time;OneTime,2420
Housing Arrangement - Left Entry;Standard Price Book;One Time,true,false,Housing Arrangement - Left Entry,Standard Price Book;true,,One Time;OneTime,1170
Housing Arrangement - Right Entry;Standard Price Book;One Time,true,false,Housing Arrangement - Right Entry,Standard Price Book;true,,One Time;OneTime,2230
"Indication-Ground Fault, Terminal Box (or) Circuit Breaker Box - Left;Standard Price Book;One Time",true,false,"Indication-Ground Fault, Terminal Box (or) Circuit Breaker Box - Left",Standard Price Book;true,,One Time;OneTime,2070
"Indication-Ground Fault, Terminal Box (or) Circuit Breaker Box - Right;Standard Price Book;One Time",true,false,"Indication-Ground Fault, Terminal Box (or) Circuit Breaker Box - Right",Standard Price Book;true,,One Time;OneTime,930
"Indication-Ground Fault,3-PoleXfrSw;Standard Price Book;One Time",true,false,"Indication-Ground Fault,3-PoleXfrSw",Standard Price Book;true,,One Time;OneTime,2390
Industrial Grey;Standard Price Book;One Time,true,false,Industrial Grey,Standard Price Book;true,,One Time;OneTime,0
Installation Fee;Standard Price Book;One Time,true,true,Installation Fee,Standard Price Book;true,,One Time;OneTime,0
IO Expansion;Standard Price Book;One Time,true,false,IO Expansion,Standard Price Book;true,,One Time;OneTime,0
Keyboard;Standard Price Book;One Time,true,false,Keyboard,Standard Price Book;true,,One Time;OneTime,14.99
L1A Enclosure - Aluminum - 60dB;Standard Price Book;One Time,true,false,L1A Enclosure - Aluminum - 60dB,Standard Price Book;true,,One Time;OneTime,9795
L1A Enclosure - Steel- 60dB;Standard Price Book;One Time,true,false,L1A Enclosure - Steel- 60dB,Standard Price Book;true,,One Time;OneTime,10881
L2A Encl w/ Mtr Dampers Alum - 40dB;Standard Price Book;One Time,true,false,L2A Encl w/ Mtr Dampers Alum - 40dB,Standard Price Book;true,,One Time;OneTime,24275
L2A Encl w/ Mtr Dampers Steel - 40dB;Standard Price Book;One Time,true,false,L2A Encl w/ Mtr Dampers Steel - 40dB,Standard Price Book;true,,One Time;OneTime,21620
L2A Enclosure - Aluminum - 50dB;Standard Price Book;One Time,true,false,L2A Enclosure - Aluminum - 50dB,Standard Price Book;true,,One Time;OneTime,14800
L2A Enclosure - Steel - 50dB;Standard Price Book;One Time,true,false,L2A Enclosure - Steel - 50dB,Standard Price Book;true,,One Time;OneTime,16280
Laptop;Standard Price Book;One Time,true,false,Laptop,Standard Price Book;true,,One Time;OneTime,1049
Laptop Basic Bundle;Standard Price Book;One Time,true,false,Laptop Basic Bundle,Standard Price Book;true,,One Time;OneTime,1100
Laptop Pro Bundle;Standard Price Book;One Time,true,false,Laptop Pro Bundle,Standard Price Book;true,,One Time;OneTime,1150
Level 1 Sound Attenuated Enclosure;Standard Price Book;One Time,true,false,Level 1 Sound Attenuated Enclosure,Standard Price Book;true,,One Time;OneTime,4599
Level 2 Sound Attenuated Enclosure;Standard Price Book;One Time,true,false,Level 2 Sound Attenuated Enclosure,Standard Price Book;true,,One Time;OneTime,6799
Level 3 Sound Attenuated Enclosure;Standard Price Book;One Time,true,false,Level 3 Sound Attenuated Enclosure,Standard Price Book;true,,One Time;OneTime,8999
Literature-Brazilian Portuguese;Standard Price Book;One Time,true,false,Literature-Brazilian Portuguese,Standard Price Book;true,,One Time;OneTime,700
Literature-Chinese;Standard Price Book;One Time,true,false,Literature-Chinese,Standard Price Book;true,,One Time;OneTime,1460
Literature-Danish;Standard Price Book;One Time,true,false,Literature-Danish,Standard Price Book;true,,One Time;OneTime,1670
Literature-Dutch;Standard Price Book;One Time,true,false,Literature-Dutch,Standard Price Book;true,,One Time;OneTime,2060
Literature-English;Standard Price Book;One Time,true,false,Literature-English,Standard Price Book;true,,One Time;OneTime,1190
Literature-Finnish;Standard Price Book;One Time,true,false,Literature-Finnish,Standard Price Book;true,,One Time;OneTime,170
Literature-French;Standard Price Book;One Time,true,false,Literature-French,Standard Price Book;true,,One Time;OneTime,200
Literature-German;Standard Price Book;One Time,true,false,Literature-German,Standard Price Book;true,,One Time;OneTime,1130
Literature-Greek;Standard Price Book;One Time,true,false,Literature-Greek,Standard Price Book;true,,One Time;OneTime,2010
Literature-Italian;Standard Price Book;One Time,true,false,Literature-Italian,Standard Price Book;true,,One Time;OneTime,940
Literature-Norwegian;Standard Price Book;One Time,true,false,Literature-Norwegian,Standard Price Book;true,,One Time;OneTime,1440
Literature-Portuguese;Standard Price Book;One Time,true,false,Literature-Portuguese,Standard Price Book;true,,One Time;OneTime,2340
Literature-Russian;Standard Price Book;One Time,true,false,Literature-Russian,Standard Price Book;true,,One Time;OneTime,490
Literature-Spanish;Standard Price Book;One Time,true,false,Literature-Spanish,Standard Price Book;true,,One Time;OneTime,420
Literature-Swedish;Standard Price Book;One Time,true,false,Literature-Swedish,Standard Price Book;true,,One Time;OneTime,830
Lucidchart;Standard Price Book;LCD001;Term Based - Monthly,true,true,Lucidchart,Standard Price Book;true,LCD001,Term Based - Monthly;TermDefined,0
Mechanical Engineer;Standard Price Book;One Time,true,false,Mechanical Engineer,Standard Price Book;true,,One Time;OneTime,500
"Meters-AC Output,Analog;Standard Price Book;One Time",true,false,"Meters-AC Output,Analog",Standard Price Book;true,,One Time;OneTime,1630
Monitor;Standard Price Book;One Time,true,false,Monitor,Standard Price Book;true,,One Time;OneTime,144.99
Mounting Hardware;Standard Price Book;One Time,true,false,Mounting Hardware,Standard Price Book;true,,One Time;OneTime,200
Mouse;Standard Price Book;One Time,true,false,Mouse,Standard Price Book;true,,One Time;OneTime,7.99
MPS Solution Bundle;Standard Price Book;MPS Solution Bundle;One Time,true,false,MPS Solution Bundle,Standard Price Book;true,MPS Solution Bundle,One Time;OneTime,0
No Enclosure;Standard Price Book;One Time,true,false,No Enclosure,Standard Price Book;true,,One Time;OneTime,0
None Supplied (Remote Cooling);Standard Price Book;One Time,true,false,None Supplied (Remote Cooling),Standard Price Book;true,,One Time;OneTime,130
Normal Duty Air Cleaner;Standard Price Book;One Time,true,false,Normal Duty Air Cleaner,Standard Price Book;true,,One Time;OneTime,1820
Office 365;Standard Price Book;OF001;Term Based - Monthly,true,false,Office 365,Standard Price Book;true,OF001,Term Based - Monthly;TermDefined,9.99
Oil Pan-High Capacity;Standard Price Book;One Time,true,false,Oil Pan-High Capacity,Standard Price Book;true,,One Time;OneTime,1910
Oil Sampling Valve;Standard Price Book;One Time,true,false,Oil Sampling Valve,Standard Price Book;true,,One Time;OneTime,1240
Optima Battery with Charger;Standard Price Book;One Time,true,false,Optima Battery with Charger,Standard Price Book;true,,One Time;OneTime,413
Optional Fan and Belt Guards;Standard Price Book;One Time,true,false,Optional Fan and Belt Guards,Standard Price Book;true,,One Time;OneTime,0
"Output Terminals-2-Hole Lug, NEMA;Standard Price Book;One Time",true,false,"Output Terminals-2-Hole Lug, NEMA",Standard Price Book;true,,One Time;OneTime,270
Overfill Prevention Valve;Standard Price Book;One Time,true,false,Overfill Prevention Valve,Standard Price Book;true,,One Time;OneTime,750
Overload Relay;Standard Price Book,true,false,Overload Relay,Standard Price Book;true,,,0
Packing-None;Standard Price Book;One Time,true,false,Packing-None,Standard Price Book;true,,One Time;OneTime,2440
Pad Vibration Isolators;Standard Price Book;One Time,true,false,Pad Vibration Isolators,Standard Price Book;true,,One Time;OneTime,1520
PD2;Standard Price Book;One Time,true,false,PD2,Standard Price Book;true,,One Time;OneTime,500
PD3;Standard Price Book;One Time,true,false,PD3,Standard Price Book;true,,One Time;OneTime,1000
PD4;Standard Price Book;One Time,true,false,PD4,Standard Price Book;true,,One Time;OneTime,2000
PD5;Standard Price Book;One Time,true,false,PD5,Standard Price Book;true,,One Time;OneTime,3500
PMG;Standard Price Book;One Time,true,false,PMG,Standard Price Book;true,,One Time;OneTime,600
Podcast Subscription;Standard Price Book;Term Based - Quarterly,true,false,Podcast Subscription,Standard Price Book;true,,Term Based - Quarterly;TermDefined,40
PowerCommand 3.3;Standard Price Book;One Time,true,false,PowerCommand 3.3,Standard Price Book;true,,One Time;OneTime,2050
PowerCommand 3.3 with MLD;Standard Price Book;One Time,true,false,PowerCommand 3.3 with MLD,Standard Price Book;true,,One Time;OneTime,1770
PowerZone 410 Control Panel;Standard Price Book;One Time,true,false,PowerZone 410 Control Panel,Standard Price Book;true,,One Time;OneTime,0
PR 2YR 4000HR P + L + T;Standard Price Book;One Time,true,false,PR 2YR 4000HR P + L + T,Standard Price Book;true,,One Time;OneTime,2160
PR 3YR 6000HR P + L + T;Standard Price Book;One Time,true,false,PR 3YR 6000HR P + L + T,Standard Price Book;true,,One Time;OneTime,590
Preventative Maintenance;Standard Price Book;Maintenance;Term Based - Yearly,true,false,Preventative Maintenance,Standard Price Book;true,Maintenance,Term Based - Yearly;TermDefined,50000
Printer;Standard Price Book;One Time,true,false,Printer,Standard Price Book;true,,One Time;OneTime,199
Printer Bundle;Standard Price Book;One Time,true,false,Printer Bundle,Standard Price Book;true,,One Time;OneTime,205
Printer Paper;Standard Price Book;One Time,true,false,Printer Paper,Standard Price Book;true,,One Time;OneTime,8.99
PSTS | 100-1200Amp | Standard Entrance;Standard Price Book;PSTS_1200_SE;One Time,true,false,PSTS | 100-1200Amp | Standard Entrance,Standard Price Book;true,PSTS_1200_SE,One Time;OneTime,400
Quip;Standard Price Book;QP001;Term Based - Monthly,true,false,Quip,Standard Price Book;true,QP001,Term Based - Monthly;TermDefined,25
Radiator Stone Guard;Standard Price Book;Radiator Stone Guard;One Time,true,false,Radiator Stone Guard,Standard Price Book;true,Radiator Stone Guard,One Time;OneTime,0
Reactive Power Factor;Standard Price Book;One Time,true,false,Reactive Power Factor,Standard Price Book;true,,One Time;OneTime,0
RELAYS-USER CONFIGURED;Standard Price Book;One Time,true,false,RELAYS-USER CONFIGURED,Standard Price Book;true,,One Time;OneTime,2090
Remote E-Stop - Break Glass;Standard Price Book;One Time,true,false,Remote E-Stop - Break Glass,Standard Price Book;true,,One Time;OneTime,570
Remote E-Stop - Flush;Standard Price Book;One Time,true,false,Remote E-Stop - Flush,Standard Price Book;true,,One Time;OneTime,570
Remote E-Stop - Surface;Standard Price Book;One Time,true,false,Remote E-Stop - Surface,Standard Price Book;true,,One Time;OneTime,570
Return Hose;Standard Price Book;One Time,true,false,Return Hose,Standard Price Book;true,,One Time;OneTime,400
Rotor Assembly;Standard Price Book,true,false,Rotor Assembly,Standard Price Book;true,,,0
SCAQMD;Standard Price Book;One Time,true,false,SCAQMD,Standard Price Book;true,,One Time;OneTime,0
Separator-Fuel/Water;Standard Price Book;One Time,true,false,Separator-Fuel/Water,Standard Price Book;true,,One Time;OneTime,1070
Ship Tank Loose;Standard Price Book;One Time,true,false,Ship Tank Loose,Standard Price Book;true,,One Time;OneTime,0
Shunt Trips;Standard Price Book,true,false,Shunt Trips,Standard Price Book;true,,,50
Shutdown Inhibit;Standard Price Book;One Time,true,false,Shutdown Inhibit,Standard Price Book;true,,One Time;OneTime,0
Shutdown-Low Coolant Level;Standard Price Book;One Time,true,false,Shutdown-Low Coolant Level,Standard Price Book;true,,One Time;OneTime,150
"Signals - Auxiliary 2, 8 Inputs/8 Outputs;Standard Price Book;One Time",true,false,"Signals - Auxiliary 2, 8 Inputs/8 Outputs",Standard Price Book;true,,One Time;OneTime,860
"Signals - Auxiliary, 8 Inputs/8 Outputs;Standard Price Book;One Time",true,false,"Signals - Auxiliary, 8 Inputs/8 Outputs",Standard Price Book;true,,One Time;OneTime,1660
Slack;Standard Price Book;Term Based - Monthly,true,false,Slack,Standard Price Book;true,,Term Based - Monthly;TermDefined,99.99
Slack Sandbox;Standard Price Book;Term Based - Monthly,true,true,Slack Sandbox,Standard Price Book;true,,Term Based - Monthly;TermDefined,0
Slack Support;Standard Price Book;Term Based - Monthly,true,true,Slack Support,Standard Price Book;true,,Term Based - Monthly;TermDefined,0
Slack Training;Standard Price Book,true,true,Slack Training,Standard Price Book;true,,,0
Special Alternator;Standard Price Book;One Time,true,false,Special Alternator,Standard Price Book;true,,One Time;OneTime,0
Special CB Options;Standard Price Book;One Time,true,false,Special CB Options,Standard Price Book;true,,One Time;OneTime,0
Special Codes Requirements;Standard Price Book;One Time,true,false,Special Codes Requirements,Standard Price Book;true,,One Time;OneTime,0
Special Control Panels Changes;Standard Price Book;One Time,true,false,Special Control Panels Changes,Standard Price Book;true,,One Time;OneTime,0
Special Dark;Standard Price Book;One Time,true,false,Special Dark,Standard Price Book;true,,One Time;OneTime,0
Special Enclosure;Standard Price Book;One Time,true,false,Special Enclosure,Standard Price Book;true,,One Time;OneTime,0
Special Enclosure Accessories;Standard Price Book;One Time,true,false,Special Enclosure Accessories,Standard Price Book;true,,One Time;OneTime,0
Special Light;Standard Price Book;One Time,true,false,Special Light,Standard Price Book;true,,One Time;OneTime,0
Special Other Options;Standard Price Book;One Time,true,false,Special Other Options,Standard Price Book;true,,One Time;OneTime,0
Special Paint;Standard Price Book;One Time,true,false,Special Paint,Standard Price Book;true,,One Time;OneTime,0
Special Tank Accessories;Standard Price Book;One Time,true,false,Special Tank Accessories,Standard Price Book;true,,One Time;OneTime,0
Special Tank Size;Standard Price Book;One Time,true,false,Special Tank Size,Standard Price Book;true,,One Time;OneTime,0
Special Test Options;Standard Price Book;One Time,true,false,Special Test Options,Standard Price Book;true,,One Time;OneTime,0
Special Transfer Switch Option;Standard Price Book;One Time,true,false,Special Transfer Switch Option,Standard Price Book;true,,One Time;OneTime,0
Spring Vibration Isolators;Standard Price Book;One Time,true,false,Spring Vibration Isolators,Standard Price Book;true,,One Time;OneTime,1520
ST 10YR 5000HR PARTS;Standard Price Book;One Time,true,false,ST 10YR 5000HR PARTS,Standard Price Book;true,,One Time;OneTime,1270
ST 10YR 5000HR Parts + Labor;Standard Price Book;One Time,true,false,ST 10YR 5000HR Parts + Labor,Standard Price Book;true,,One Time;OneTime,510
ST 10YR 5000HR Parts + Labor + Travel;Standard Price Book;One Time,true,false,ST 10YR 5000HR Parts + Labor + Travel,Standard Price Book;true,,One Time;OneTime,1770
ST 3YR 1500HR PARTS;Standard Price Book;One Time,true,false,ST 3YR 1500HR PARTS,Standard Price Book;true,,One Time;OneTime,880
ST 3YR 1500HR Parts + Labor;Standard Price Book;One Time,true,false,ST 3YR 1500HR Parts + Labor,Standard Price Book;true,,One Time;OneTime,2490
ST 3YR 1500HR Parts + Labor + Travel;Standard Price Book;One Time,true,false,ST 3YR 1500HR Parts + Labor + Travel,Standard Price Book;true,,One Time;OneTime,2310
ST 5YR 2500HR PARTS;Standard Price Book;One Time,true,false,ST 5YR 2500HR PARTS,Standard Price Book;true,,One Time;OneTime,1050
ST 5YR 2500HR Parts + Labor;Standard Price Book;One Time,true,false,ST 5YR 2500HR Parts + Labor,Standard Price Book;true,,One Time;OneTime,620
ST 5YR 2500HR Parts + Labor + Travel;Standard Price Book;One Time,true,false,ST 5YR 2500HR Parts + Labor + Travel,Standard Price Book;true,,One Time;OneTime,1790
"STANDARD - 1YR P/L/T, 2 YR P;Standard Price Book;One Time",true,true,"STANDARD - 1YR P/L/T, 2 YR P",Standard Price Book;true,,One Time;OneTime,0
Stationary Generator | 10-30KW | Diesel | 2.2L;Standard Price Book;SD10-30;One Time,true,false,Stationary Generator | 10-30KW | Diesel | 2.2L,Standard Price Book;true,SD10-30,One Time;OneTime,45000
Stationary Generator | 100-175KW | Diesel | 6.7L;Standard Price Book;SD100-175;One Time,true,false,Stationary Generator | 100-175KW | Diesel | 6.7L,Standard Price Book;true,SD100-175,One Time;OneTime,0
Stationary Generator | 1000KW | Gaseous | 49.0L;Standard Price Book;SG1000;One Time,true,false,Stationary Generator | 1000KW | Gaseous | 49.0L,Standard Price Book;true,SG1000,One Time;OneTime,125000
Stationary Generator | 1250KW | Diesel | 49.0L;Standard Price Book;SD1250;One Time,true,false,Stationary Generator | 1250KW | Diesel | 49.0L,Standard Price Book;true,SD1250,One Time;OneTime,90000
Stationary Generator | 150-300KW | Gaseous | 14.2L;Standard Price Book;SG150-300;One Time,true,false,Stationary Generator | 150-300KW | Gaseous | 14.2L,Standard Price Book;true,SG150-300,One Time;OneTime,65000
Stationary Generator | 1500-2000KW | Diesel | 65.4L;Standard Price Book;SD1500-2000;One Time,true,false,Stationary Generator | 1500-2000KW | Diesel | 65.4L,Standard Price Book;true,SD1500-2000,One Time;OneTime,95000
Stationary Generator | 200-250KW | Diesel | 8.7L;Standard Price Book;SD200-250;One Time,true,false,Stationary Generator | 200-250KW | Diesel | 8.7L,Standard Price Book;true,SD200-250,One Time;OneTime,60000
Stationary Generator | 275-300KW | Iveco Diesel | 10.3L;Standard Price Book;SD275-300;One Time,true,false,Stationary Generator | 275-300KW | Iveco Diesel | 10.3L,Standard Price Book;true,SD275-300,One Time;OneTime,60000
Stationary Generator | 35-50KW | MHI Diesel | 3.3L;Standard Price Book;SD35-50;One Time,true,false,Stationary Generator | 35-50KW | MHI Diesel | 3.3L,Standard Price Book;true,SD35-50,One Time;OneTime,45000
Stationary Generator | 35-80KW | Gaseous | 4.5L;Standard Price Book;SG35-80;One Time,true,false,Stationary Generator | 35-80KW | Gaseous | 4.5L,Standard Price Book;true,SG35-80,One Time;OneTime,50000
Stationary Generator | 350-450KW | Gaseous | 21.9L;Standard Price Book;SG350-450;One Time,true,false,Stationary Generator | 350-450KW | Gaseous | 21.9L,Standard Price Book;true,SG350-450,One Time;OneTime,60000
