$$PriceAdjustmentSchedule.Name$Product.StockKeepingUnit$ParentProduct.StockKeepingUnit$RootBundle.StockKeepingUnit$ProductSellingModel.Name$ParentProductSellingModel.Name$RootProductSellingModel.Name$CurrencyIsoCode,AdjustmentType,AdjustmentValue,CurrencyIsoCode,EffectiveFrom,EffectiveTo,Name,ParentProduct.StockKeepingUnit,ParentProductSellingModel.$$Name$SellingModelType,PriceAdjustmentSchedule.$$Name$CurrencyIsoCode$Pricebook2.Name,PricingTerm,PricingTermUnit,Product.StockKeepingUnit,ProductSellingModel.$$Name$SellingModelType,RootBundle.StockKeepingUnit,RootProductSellingModel.$$Name$SellingModelType,ScheduleType,SellingModelType
Standard Bundle Based Adjustment;QB-API-GEN2794;QB-COMPLETE;QB-COMPLETE;Term Annual;Term Annual;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000001,QB-COMPLETE,Term Annual;TermDefined,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN2794,Term Annual;TermDefined,QB-COMPLETE,Term Annual;TermDefined,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API;QB-COMPLETE-GEN2834;QB-COMPLETE-GEN2834;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000002,QB-COMPLETE-GEN2834,,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API,Term Annual;TermDefined,QB-COMPLETE-GEN2834,,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API;QB-COMPLETE-GEN2834;QB-COMPLETE-GEN2834;Term Annual;Term Annual;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000001,QB-COMPLETE-GEN2834,Term Annual;TermDefined,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API,Term Annual;TermDefined,QB-COMPLETE-GEN2834,Term Annual;TermDefined,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API-GEN2958;QB-COMPLETE;QB-COMPLETE;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000002,QB-COMPLETE,,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN2958,Term Annual;TermDefined,QB-COMPLETE,,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API-GEN2958;QB-COMPLETE;QB-COMPLETE;Term Annual;Term Annual;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000001,QB-COMPLETE,Term Annual;TermDefined,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN2958,Term Annual;TermDefined,QB-COMPLETE,Term Annual;TermDefined,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API;QB-COMPLETE-GEN2998;QB-COMPLETE-GEN2998;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000002,QB-COMPLETE-GEN2998,,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API,Term Annual;TermDefined,QB-COMPLETE-GEN2998,,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API;QB-COMPLETE-GEN2998;QB-COMPLETE-GEN2998;Term Annual;Term Annual;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000001,QB-COMPLETE-GEN2998,Term Annual;TermDefined,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API,Term Annual;TermDefined,QB-COMPLETE-GEN2998,Term Annual;TermDefined,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API-GEN3122;QB-COMPLETE;QB-COMPLETE;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000002,QB-COMPLETE,,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN3122,Term Annual;TermDefined,QB-COMPLETE,,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API-GEN3122;QB-COMPLETE;QB-COMPLETE;Term Annual;Term Annual;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000001,QB-COMPLETE,Term Annual;TermDefined,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN3122,Term Annual;TermDefined,QB-COMPLETE,Term Annual;TermDefined,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API;QB-COMPLETE-GEN3162;QB-COMPLETE-GEN3162;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000002,QB-COMPLETE-GEN3162,,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API,Term Annual;TermDefined,QB-COMPLETE-GEN3162,,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API;QB-COMPLETE-GEN3162;QB-COMPLETE-GEN3162;Term Annual;Term Annual;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000001,QB-COMPLETE-GEN3162,Term Annual;TermDefined,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API,Term Annual;TermDefined,QB-COMPLETE-GEN3162,Term Annual;TermDefined,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API-GEN3286;QB-COMPLETE;QB-COMPLETE;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000002,QB-COMPLETE,,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN3286,Term Annual;TermDefined,QB-COMPLETE,,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API-GEN3286;QB-COMPLETE;QB-COMPLETE;Term Annual;Term Annual;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000001,QB-COMPLETE,Term Annual;TermDefined,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN3286,Term Annual;TermDefined,QB-COMPLETE,Term Annual;TermDefined,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API;QB-COMPLETE-GEN3326;QB-COMPLETE-GEN3326;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000002,QB-COMPLETE-GEN3326,,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API,Term Annual;TermDefined,QB-COMPLETE-GEN3326,,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API;QB-COMPLETE-GEN3326;QB-COMPLETE-GEN3326;Term Annual;Term Annual;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000001,QB-COMPLETE-GEN3326,Term Annual;TermDefined,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API,Term Annual;TermDefined,QB-COMPLETE-GEN3326,Term Annual;TermDefined,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API-GEN3450;QB-COMPLETE;QB-COMPLETE;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000002,QB-COMPLETE,,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN3450,Term Annual;TermDefined,QB-COMPLETE,,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API-GEN3450;QB-COMPLETE;QB-COMPLETE;Term Annual;Term Annual;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000001,QB-COMPLETE,Term Annual;TermDefined,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN3450,Term Annual;TermDefined,QB-COMPLETE,Term Annual;TermDefined,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API;QB-COMPLETE-GEN3490;QB-COMPLETE-GEN3490;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000002,QB-COMPLETE-GEN3490,,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API,Term Annual;TermDefined,QB-COMPLETE-GEN3490,,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API;QB-COMPLETE-GEN3490;QB-COMPLETE-GEN3490;Term Annual;Term Annual;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000001,QB-COMPLETE-GEN3490,Term Annual;TermDefined,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API,Term Annual;TermDefined,QB-COMPLETE-GEN3490,Term Annual;TermDefined,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API-GEN3614;QB-COMPLETE;QB-COMPLETE;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000002,QB-COMPLETE,,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN3614,Term Annual;TermDefined,QB-COMPLETE,,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API-GEN3614;QB-COMPLETE;QB-COMPLETE;Term Annual;Term Annual;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000001,QB-COMPLETE,Term Annual;TermDefined,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN3614,Term Annual;TermDefined,QB-COMPLETE,Term Annual;TermDefined,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API;QB-COMPLETE-GEN3654;QB-COMPLETE-GEN3654;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000002,QB-COMPLETE-GEN3654,,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API,Term Annual;TermDefined,QB-COMPLETE-GEN3654,,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API;QB-COMPLETE-GEN3654;QB-COMPLETE-GEN3654;Term Annual;Term Annual;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000001,QB-COMPLETE-GEN3654,Term Annual;TermDefined,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API,Term Annual;TermDefined,QB-COMPLETE-GEN3654,Term Annual;TermDefined,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API-GEN3778;QB-COMPLETE;QB-COMPLETE;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000002,QB-COMPLETE,,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN3778,Term Annual;TermDefined,QB-COMPLETE,,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API-GEN3778;QB-COMPLETE;QB-COMPLETE;Term Annual;Term Annual;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000001,QB-COMPLETE,Term Annual;TermDefined,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN3778,Term Annual;TermDefined,QB-COMPLETE,Term Annual;TermDefined,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API;QB-COMPLETE-GEN3818;QB-COMPLETE-GEN3818;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000002,QB-COMPLETE-GEN3818,,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API,Term Annual;TermDefined,QB-COMPLETE-GEN3818,,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API;QB-COMPLETE-GEN3818;QB-COMPLETE-GEN3818;Term Annual;Term Annual;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000001,QB-COMPLETE-GEN3818,Term Annual;TermDefined,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API,Term Annual;TermDefined,QB-COMPLETE-GEN3818,Term Annual;TermDefined,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API-GEN3942;QB-COMPLETE;QB-COMPLETE;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000002,QB-COMPLETE,,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN3942,Term Annual;TermDefined,QB-COMPLETE,,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API-GEN3942;QB-COMPLETE;QB-COMPLETE;Term Annual;Term Annual;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000001,QB-COMPLETE,Term Annual;TermDefined,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN3942,Term Annual;TermDefined,QB-COMPLETE,Term Annual;TermDefined,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API;QB-COMPLETE-GEN3982;QB-COMPLETE-GEN3982;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000002,QB-COMPLETE-GEN3982,,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API,Term Annual;TermDefined,QB-COMPLETE-GEN3982,,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API;QB-COMPLETE-GEN3982;QB-COMPLETE-GEN3982;Term Annual;Term Annual;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000001,QB-COMPLETE-GEN3982,Term Annual;TermDefined,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API,Term Annual;TermDefined,QB-COMPLETE-GEN3982,Term Annual;TermDefined,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API-GEN4106;QB-COMPLETE;QB-COMPLETE;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000002,QB-COMPLETE,,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN4106,Term Annual;TermDefined,QB-COMPLETE,,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API-GEN4106;QB-COMPLETE;QB-COMPLETE;Term Annual;Term Annual;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000001,QB-COMPLETE,Term Annual;TermDefined,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN4106,Term Annual;TermDefined,QB-COMPLETE,Term Annual;TermDefined,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API;QB-COMPLETE-GEN4146;QB-COMPLETE-GEN4146;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000002,QB-COMPLETE-GEN4146,,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API,Term Annual;TermDefined,QB-COMPLETE-GEN4146,,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API;QB-COMPLETE-GEN4146;QB-COMPLETE-GEN4146;Term Annual;Term Annual;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000001,QB-COMPLETE-GEN4146,Term Annual;TermDefined,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API,Term Annual;TermDefined,QB-COMPLETE-GEN4146,Term Annual;TermDefined,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API-GEN4270;QB-COMPLETE;QB-COMPLETE;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000002,QB-COMPLETE,,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN4270,Term Annual;TermDefined,QB-COMPLETE,,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API-GEN4270;QB-COMPLETE;QB-COMPLETE;Term Annual;Term Annual;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000001,QB-COMPLETE,Term Annual;TermDefined,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN4270,Term Annual;TermDefined,QB-COMPLETE,Term Annual;TermDefined,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API;QB-COMPLETE-GEN4310;QB-COMPLETE-GEN4310;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000002,QB-COMPLETE-GEN4310,,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API,Term Annual;TermDefined,QB-COMPLETE-GEN4310,,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API;QB-COMPLETE-GEN4310;QB-COMPLETE-GEN4310;Term Annual;Term Annual;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000001,QB-COMPLETE-GEN4310,Term Annual;TermDefined,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API,Term Annual;TermDefined,QB-COMPLETE-GEN4310,Term Annual;TermDefined,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API-GEN4434;QB-COMPLETE;QB-COMPLETE;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000002,QB-COMPLETE,,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN4434,Term Annual;TermDefined,QB-COMPLETE,,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API-GEN4434;QB-COMPLETE;QB-COMPLETE;Term Annual;Term Annual;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000001,QB-COMPLETE,Term Annual;TermDefined,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN4434,Term Annual;TermDefined,QB-COMPLETE,Term Annual;TermDefined,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API;QB-COMPLETE-GEN4474;QB-COMPLETE-GEN4474;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000002,QB-COMPLETE-GEN4474,,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API,Term Annual;TermDefined,QB-COMPLETE-GEN4474,,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API;QB-COMPLETE-GEN4474;QB-COMPLETE-GEN4474;Term Annual;Term Annual;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000001,QB-COMPLETE-GEN4474,Term Annual;TermDefined,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API,Term Annual;TermDefined,QB-COMPLETE-GEN4474,Term Annual;TermDefined,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API-GEN4598;QB-COMPLETE;QB-COMPLETE;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000002,QB-COMPLETE,,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN4598,Term Annual;TermDefined,QB-COMPLETE,,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API-GEN4598;QB-COMPLETE;QB-COMPLETE;Term Annual;Term Annual;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000001,QB-COMPLETE,Term Annual;TermDefined,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN4598,Term Annual;TermDefined,QB-COMPLETE,Term Annual;TermDefined,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API;QB-COMPLETE-GEN4638;QB-COMPLETE-GEN4638;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000002,QB-COMPLETE-GEN4638,,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API,Term Annual;TermDefined,QB-COMPLETE-GEN4638,,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API;QB-COMPLETE-GEN4638;QB-COMPLETE-GEN4638;Term Annual;Term Annual;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000001,QB-COMPLETE-GEN4638,Term Annual;TermDefined,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API,Term Annual;TermDefined,QB-COMPLETE-GEN4638,Term Annual;TermDefined,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API-GEN4762;QB-COMPLETE;QB-COMPLETE;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000002,QB-COMPLETE,,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN4762,Term Annual;TermDefined,QB-COMPLETE,,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API-GEN4762;QB-COMPLETE;QB-COMPLETE;Term Annual;Term Annual;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000001,QB-COMPLETE,Term Annual;TermDefined,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN4762,Term Annual;TermDefined,QB-COMPLETE,Term Annual;TermDefined,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API;QB-COMPLETE-GEN4802;QB-COMPLETE-GEN4802;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000002,QB-COMPLETE-GEN4802,,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API,Term Annual;TermDefined,QB-COMPLETE-GEN4802,,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API;QB-COMPLETE-GEN4802;QB-COMPLETE-GEN4802;Term Annual;Term Annual;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000001,QB-COMPLETE-GEN4802,Term Annual;TermDefined,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API,Term Annual;TermDefined,QB-COMPLETE-GEN4802,Term Annual;TermDefined,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API-GEN4926;QB-COMPLETE;QB-COMPLETE;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000002,QB-COMPLETE,,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN4926,Term Annual;TermDefined,QB-COMPLETE,,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API-GEN4926;QB-COMPLETE;QB-COMPLETE;Term Annual;Term Annual;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000001,QB-COMPLETE,Term Annual;TermDefined,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN4926,Term Annual;TermDefined,QB-COMPLETE,Term Annual;TermDefined,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API;QB-COMPLETE-GEN4966;QB-COMPLETE-GEN4966;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000002,QB-COMPLETE-GEN4966,,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API,Term Annual;TermDefined,QB-COMPLETE-GEN4966,,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API;QB-COMPLETE-GEN4966;QB-COMPLETE-GEN4966;Term Annual;Term Annual;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000001,QB-COMPLETE-GEN4966,Term Annual;TermDefined,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API,Term Annual;TermDefined,QB-COMPLETE-GEN4966,Term Annual;TermDefined,Bundle,TermDefined
