$$Name$Pricebook2.Name$Product2.StockKeepingUnit$ProductSellingModel.Name$CurrencyIsoCode,CurrencyIsoCode,IsActive,IsDerived,Name,Pricebook2.$$Name$IsStandard,Product2.StockKeepingUnit,ProductSellingModel.$$Name$SellingModelType,UnitPrice
Headset;Standard Price Book;HDS001;One Time;BHD,BHD,true,false,Headset,Standard Price Book;true,HDS001,One Time;OneTime,18.9962
Keyboard;Standard Price Book;KB001;One Time;BHD,BHD,true,false,Keyboard,Standard Price Book;true,KB001,One Time;OneTime,5.6962
Laptop;Standard Price Book;LP001;One Time;BHD,BHD,true,false,Laptop,Standard Price Book;true,LP001,One Time;OneTime,398.62
Laptop Accessories;Standard Price Book;LA001;One Time;BHD,BHD,true,false,Laptop Accessories,Standard Price Book;true,LA001,One Time;OneTime,21.7512
Laptop Bag;Standard Price Book;LBG001;One Time;BHD,BHD,true,false,Laptop Bag,Standard Price Book;true,LBG001,One Time;OneTime,5.7988
Laptop Basic Bundle;Standard Price Book;LB001;One Time;BHD,BHD,true,false,Laptop Basic Bundle,Standard Price Book;true,LB001,One Time;OneTime,418
Laptop Care Package;Standard Price Book;LCP001;Term Based - Monthly;BHD,BHD,true,false,Laptop Care Package,Standard Price Book;true,LCP001,Term Based - Monthly;TermDefined,34.1886
Laptop Pro Bundle;Standard Price Book;LPB001;One Time;BHD,BHD,true,false,Laptop Pro Bundle,Standard Price Book;true,LPB001,One Time;OneTime,437
Laptop Productivity Bundle;Standard Price Book;LPB002;One Time;BHD,BHD,true,false,Laptop Productivity Bundle,Standard Price Book;true,LPB002,One Time;OneTime,569.9962
Laptop Stand;Standard Price Book;LPST001;One Time;BHD,BHD,true,false,Laptop Stand,Standard Price Book;true,LPST001,One Time;OneTime,30.3962
LLM Certification;Standard Price Book;LLMCERT001;Term Based - Yearly;BHD,BHD,true,false,LLM Certification,Standard Price Book;true,LLMCERT001,Term Based - Yearly;TermDefined,760
Lucidchart;Standard Price Book;LCD001;Term Based - Monthly;BHD,BHD,true,true,Lucidchart,Standard Price Book;true,LCD001,Term Based - Monthly;TermDefined,0
Machine Learning Model Training;Standard Price Book;LLMTRG001;One Time;BHD,BHD,true,false,Machine Learning Model Training,Standard Price Book;true,LLMTRG001,One Time;OneTime,720.1
Monitor;Standard Price Book;MO001;One Time;BHD,BHD,true,false,Monitor,Standard Price Book;true,MO001,One Time;OneTime,55.0962
Mouse;Standard Price Book;MOU001;One Time;BHD,BHD,true,false,Mouse,Standard Price Book;true,MOU001,One Time;OneTime,3.0362
Noise-Canceling Headphones;Standard Price Book;NCH025;One Time;BHD,BHD,true,false,Noise-Canceling Headphones,Standard Price Book;true,NCH025,One Time;OneTime,34.1962
Office 365;Standard Price Book;OF001;Term Based - Monthly;BHD,BHD,true,false,Office 365,Standard Price Book;true,OF001,Term Based - Monthly;TermDefined,3.7962
Podcast Subscription;Standard Price Book;PS001;Term Based - Quarterly;BHD,BHD,true,false,Podcast Subscription,Standard Price Book;true,PS001,Term Based - Quarterly;TermDefined,15.2
Printer;Standard Price Book;PRN001;One Time;BHD,BHD,true,false,Printer,Standard Price Book;true,PRN001,One Time;OneTime,75.62
Printer Bundle;Standard Price Book;PB001;One Time;BHD,BHD,true,false,Printer Bundle,Standard Price Book;true,PB001,One Time;OneTime,77.9
Printer Maintenance;Standard Price Book;PM002;Evergreen - Quarterly;BHD,BHD,true,false,Printer Maintenance,Standard Price Book;true,PM002,Evergreen - Quarterly;Evergreen,7.5962
Printer Paper;Standard Price Book;PP001;One Time;BHD,BHD,true,false,Printer Paper,Standard Price Book;true,PP001,One Time;OneTime,3.4162
Professional Certifications;Standard Price Book;PCERT001;Term Based - Yearly;BHD,BHD,true,false,Professional Certifications,Standard Price Book;true,PCERT001,Term Based - Yearly;TermDefined,1330
Quickbooks Online;Standard Price Book;QBO0021;Term Based - Yearly;BHD,BHD,true,false,Quickbooks Online,Standard Price Book;true,QBO0021,Term Based - Yearly;TermDefined,18.9962
Quip;Standard Price Book;QP001;Term Based - Monthly;BHD,BHD,true,false,Quip,Standard Price Book;true,QP001,Term Based - Monthly;TermDefined,9.5
Security Systems Surveillance;Standard Price Book;SSS001;Evergreen - Semi-Annual;BHD,BHD,true,false,Security Systems Surveillance,Standard Price Book;true,SSS001,Evergreen - Semi-Annual;Evergreen,38
Skill Development Package;Standard Price Book;SDP001;Term Based - Yearly;BHD,BHD,true,false,Skill Development Package,Standard Price Book;true,SDP001,Term Based - Yearly;TermDefined,570
Slack;Standard Price Book;SLKSRC001;Term Based - Monthly;BHD,BHD,true,false,Slack,Standard Price Book;true,SLKSRC001,Term Based - Monthly;TermDefined,37.9962
Slack Sandbox;Standard Price Book;SLKDPP009;Term Based - Monthly;BHD,BHD,true,true,Slack Sandbox,Standard Price Book;true,SLKDPP009,Term Based - Monthly;TermDefined,0
Slack Support;Standard Price Book;SLKDPP007;Term Based - Monthly;BHD,BHD,true,true,Slack Support,Standard Price Book;true,SLKDPP007,Term Based - Monthly;TermDefined,0
Slack Training;Standard Price Book;SLKDPP008;BHD,BHD,true,true,Slack Training,Standard Price Book;true,SLKDPP008,,0
Specialized Certifications;Standard Price Book;CERT007;Term Based - Yearly;BHD,BHD,true,false,Specialized Certifications,Standard Price Book;true,CERT007,Term Based - Yearly;TermDefined,1140
Support;Standard Price Book;SP001;Term Based - Monthly;BHD,BHD,true,false,Support,Standard Price Book;true,SP001,Term Based - Monthly;TermDefined,3.7962
Training Platform Package;Standard Price Book;TPP01;Evergreen - Yearly;BHD,BHD,true,false,Training Platform Package,Standard Price Book;true,TPP01,Evergreen - Yearly;Evergreen,22.7962
Udemy Access;Standard Price Book;UA001;Evergreen - Monthly;BHD,BHD,true,false,Udemy Access,Standard Price Book;true,UA001,Evergreen - Monthly;Evergreen,11.4
USB C multiport adapter hub with 4K HDMI;Standard Price Book;USB01;One Time;BHD,BHD,true,false,USB C multiport adapter hub with 4K HDMI,Standard Price Book;true,USB01,One Time;OneTime,12.9162
Warranty;Standard Price Book;W001;Term Based - Yearly;BHD,BHD,true,false,Warranty,Standard Price Book;true,W001,Term Based - Yearly;TermDefined,18.9962
